tourist_id,timestamp,latitude,longitude,status,context
T001,2026-03-05 06:00:00,27.012503,88.264965,dwell,Tiger Hill
T001,2026-03-05 06:01:00,27.012417,88.265013,dwell,Tiger Hill
T001,2026-03-05 06:02:00,27.012487,88.265135,dwell,Tiger Hill
T001,2026-03-05 06:03:00,27.012459,88.265021,dwell,Tiger Hill
T001,2026-03-05 06:04:00,27.012395,88.264974,dwell,Tiger Hill
T001,2026-03-05 06:05:00,27.012517,88.265055,dwell,Tiger Hill
T001,2026-03-05 06:06:00,27.012597,88.264997,dwell,Tiger Hill
T001,2026-03-05 06:07:00,27.012426,88.265031,dwell,Tiger Hill
T001,2026-03-05 06:08:00,27.012534,88.265033,dwell,Tiger Hill
T001,2026-03-05 06:09:00,27.012453,88.265076,dwell,Tiger Hill
T001,2026-03-05 06:10:00,27.012506,88.265047,dwell,Tiger Hill
T001,2026-03-05 06:11:00,27.012585,88.265041,dwell,Tiger Hill
T001,2026-03-05 06:12:00,27.012519,88.265144,dwell,Tiger Hill
T001,2026-03-05 06:13:00,27.012516,88.26498,dwell,Tiger Hill
T001,2026-03-05 06:14:00,27.012507,88.265099,dwell,Tiger Hill
T001,2026-03-05 06:15:00,27.012508,88.265035,dwell,Tiger Hill
T001,2026-03-05 06:16:00,27.01258,88.264966,dwell,Tiger Hill
T001,2026-03-05 06:17:00,27.012385,88.26502,dwell,Tiger Hill
T001,2026-03-05 06:18:00,27.012515,88.264959,dwell,Tiger Hill
T001,2026-03-05 06:19:00,27.012558,88.265041,dwell,Tiger Hill
T001,2026-03-05 06:20:00,27.012434,88.265035,dwell,Tiger Hill
T001,2026-03-05 06:21:00,27.012487,88.264901,dwell,Tiger Hill
T001,2026-03-05 06:22:00,27.01253,88.264997,dwell,Tiger Hill
T001,2026-03-05 06:23:00,27.01245,88.265035,dwell,Tiger Hill
T001,2026-03-05 06:24:00,27.012533,88.264961,dwell,Tiger Hill
T001,2026-03-05 06:25:00,27.012527,88.265068,dwell,Tiger Hill
T001,2026-03-05 06:26:00,27.012452,88.265025,dwell,Tiger Hill
T001,2026-03-05 06:27:00,27.0125,88.265151,dwell,Tiger Hill
T001,2026-03-05 06:28:00,27.012376,88.265046,dwell,Tiger Hill
T001,2026-03-05 06:29:00,27.01248,88.264993,dwell,Tiger Hill
T001,2026-03-05 06:30:00,27.012627,88.264999,dwell,Tiger Hill
T001,2026-03-05 06:31:00,27.012649,88.264971,dwell,Tiger Hill
T001,2026-03-05 06:32:00,27.012523,88.264967,dwell,Tiger Hill
T001,2026-03-05 06:33:00,27.012454,88.265004,dwell,Tiger Hill
T001,2026-03-05 06:34:00,27.012481,88.265013,dwell,Tiger Hill
T001,2026-03-05 06:35:00,27.01236,88.265133,dwell,Tiger Hill
T001,2026-03-05 06:36:00,27.012489,88.265116,dwell,Tiger Hill
T001,2026-03-05 06:37:00,27.012433,88.26502,dwell,Tiger Hill
T001,2026-03-05 06:38:00,27.012711,88.264942,dwell,Tiger Hill
T001,2026-03-05 06:39:00,27.0124,88.264964,dwell,Tiger Hill
T001,2026-03-05 06:40:00,27.012531,88.265046,dwell,Tiger Hill
T001,2026-03-05 06:41:00,27.012586,88.264983,dwell,Tiger Hill
T001,2026-03-05 06:42:00,27.012393,88.264971,dwell,Tiger Hill
T001,2026-03-05 06:43:00,27.012583,88.265031,dwell,Tiger Hill
T001,2026-03-05 06:44:00,27.01237,88.264998,dwell,Tiger Hill
T001,2026-03-05 06:45:00,27.012593,88.265142,dwell,Tiger Hill
T001,2026-03-05 06:46:00,27.012537,88.265021,dwell,Tiger Hill
T001,2026-03-05 06:47:00,27.012417,88.264944,dwell,Tiger Hill
T001,2026-03-05 06:48:00,27.012503,88.265034,dwell,Tiger Hill
T001,2026-03-05 06:49:00,27.012539,88.264968,dwell,Tiger Hill
T001,2026-03-05 06:50:00,27.012423,88.264948,dwell,Tiger Hill
T001,2026-03-05 06:51:00,27.012423,88.265043,dwell,Tiger Hill
T001,2026-03-05 06:52:00,27.012346,88.264978,dwell,Tiger Hill
T001,2026-03-05 06:53:00,27.01253,88.265101,dwell,Tiger Hill
T001,2026-03-05 06:54:00,27.012505,88.265067,dwell,Tiger Hill
T001,2026-03-05 06:55:00,27.012473,88.26495,dwell,Tiger Hill
T001,2026-03-05 06:56:00,27.012455,88.265102,dwell,Tiger Hill
T001,2026-03-05 06:57:00,27.012566,88.265032,dwell,Tiger Hill
T001,2026-03-05 06:58:00,27.012722,88.264998,dwell,Tiger Hill
T001,2026-03-05 06:59:00,27.012541,88.265021,dwell,Tiger Hill
T001,2026-03-05 07:00:00,27.012485,88.265154,dwell,Tiger Hill
T001,2026-03-05 07:01:00,27.0126,88.264907,dwell,Tiger Hill
T001,2026-03-05 07:02:00,27.012473,88.265029,dwell,Tiger Hill
T001,2026-03-05 07:03:00,27.007552,88.264019,transit,walk
T001,2026-03-05 07:04:00,27.007482,88.263638,transit,walk
T001,2026-03-05 07:05:00,27.007491,88.263335,transit,walk
T001,2026-03-05 07:06:00,27.007463,88.262957,transit,walk
T001,2026-03-05 07:07:00,27.007456,88.262558,transit,walk
T001,2026-03-05 07:08:00,27.007578,88.262274,transit,walk
T001,2026-03-05 07:09:00,27.007636,88.261927,transit,walk
T001,2026-03-05 07:10:00,27.007738,88.261613,transit,walk
T001,2026-03-05 07:11:00,27.007836,88.261209,transit,walk
T001,2026-03-05 07:12:00,27.00797,88.260885,transit,walk
T001,2026-03-05 07:13:00,27.008128,88.260632,transit,walk
T001,2026-03-05 07:14:00,27.008229,88.260257,transit,walk
T001,2026-03-05 07:15:00,27.00824,88.259917,transit,walk
T001,2026-03-05 07:16:00,27.008274,88.259549,transit,walk
T001,2026-03-05 07:17:00,27.008445,88.259281,transit,walk
T001,2026-03-05 07:18:00,27.008684,88.259001,transit,walk
T001,2026-03-05 07:19:00,27.0089,88.258832,transit,walk
T001,2026-03-05 07:20:00,27.009277,88.258786,transit,walk
T001,2026-03-05 07:21:00,27.009495,88.258504,transit,walk
T001,2026-03-05 07:22:00,27.009697,88.258216,transit,walk
T001,2026-03-05 07:23:00,27.009993,88.258241,transit,walk
T001,2026-03-05 07:24:00,27.01021,88.258064,transit,walk
T001,2026-03-05 07:25:00,27.010571,88.257918,transit,walk
T001,2026-03-05 07:26:00,27.01089,88.258009,transit,walk
T001,2026-03-05 07:27:00,27.011086,88.257784,transit,walk
T001,2026-03-05 07:28:00,27.011405,88.25771,transit,walk
T001,2026-03-05 07:29:00,27.011627,88.257613,transit,walk
T001,2026-03-05 07:30:00,27.0118,88.25734,transit,walk
T001,2026-03-05 07:31:00,27.012104,88.25715,transit,walk
T001,2026-03-05 07:32:00,27.01219,88.257483,transit,walk
T001,2026-03-05 07:33:00,27.012499,88.257673,transit,walk
T001,2026-03-05 07:34:00,27.012641,88.25799,transit,walk
T001,2026-03-05 07:35:00,27.012971,88.258019,transit,walk
T001,2026-03-05 07:36:00,27.013228,88.257897,transit,walk
T001,2026-03-05 07:37:00,27.013343,88.257576,transit,walk
T001,2026-03-05 07:38:00,27.013657,88.257581,transit,walk
T001,2026-03-05 07:39:00,27.013812,88.257894,transit,walk
T001,2026-03-05 07:40:00,27.014072,88.257697,transit,walk
T001,2026-03-05 07:41:00,27.014372,88.257774,transit,walk
T001,2026-03-05 07:42:00,27.014416,88.258157,transit,walk
T001,2026-03-05 07:43:00,27.014657,88.258342,transit,walk
T001,2026-03-05 07:44:00,27.015022,88.258357,transit,walk
T001,2026-03-05 07:45:00,27.015278,88.25823,transit,walk
T001,2026-03-05 07:46:00,27.015627,88.258089,transit,walk
T001,2026-03-05 07:47:00,27.015897,88.257944,transit,walk
T001,2026-03-05 07:48:00,27.015999,88.258274,transit,walk
T001,2026-03-05 07:49:00,27.016146,88.258575,transit,walk
T001,2026-03-05 07:50:00,27.016452,88.258527,transit,walk
T001,2026-03-05 07:51:00,27.01667,88.258277,transit,walk
T001,2026-03-05 07:52:00,27.016785,88.258558,transit,walk
T001,2026-03-05 07:53:00,27.017051,88.258799,transit,walk
T001,2026-03-05 07:54:00,27.017315,88.259044,transit,walk
T001,2026-03-05 07:55:00,27.017669,88.258887,transit,walk
T001,2026-03-05 07:56:00,27.017786,88.258977,transit,walk
T001,2026-03-05 07:57:00,27.018069,88.259117,transit,walk
T001,2026-03-05 07:58:00,27.018378,88.259093,transit,walk
T001,2026-03-05 07:59:00,27.018683,88.258979,transit,walk
T001,2026-03-05 08:00:00,27.018985,88.259105,transit,walk
T001,2026-03-05 08:01:00,27.019285,88.259199,transit,walk
T001,2026-03-05 08:02:00,27.019602,88.25928,transit,walk
T001,2026-03-05 08:03:00,27.019899,88.259152,transit,walk
T001,2026-03-05 08:04:00,27.020255,88.259168,transit,walk
T001,2026-03-05 08:05:00,27.020517,88.25936,transit,walk
T001,2026-03-05 08:06:00,27.020798,88.259499,transit,walk
T001,2026-03-05 08:07:00,27.021074,88.259561,transit,walk
T001,2026-03-05 08:08:00,27.021328,88.259783,transit,walk
T001,2026-03-05 08:09:00,27.021379,88.260143,transit,walk
T001,2026-03-05 08:10:00,27.019958,88.261938,dwell,Ghoom Monastery
T001,2026-03-05 08:11:00,27.019957,88.262016,dwell,Ghoom Monastery
T001,2026-03-05 08:12:00,27.019859,88.262024,dwell,Ghoom Monastery
T001,2026-03-05 08:13:00,27.020012,88.261961,dwell,Ghoom Monastery
T001,2026-03-05 08:14:00,27.020069,88.262041,dwell,Ghoom Monastery
T001,2026-03-05 08:15:00,27.01996,88.261955,dwell,Ghoom Monastery
T001,2026-03-05 08:16:00,27.020046,88.261899,dwell,Ghoom Monastery
T001,2026-03-05 08:17:00,27.019978,88.261958,dwell,Ghoom Monastery
T001,2026-03-05 08:18:00,27.020005,88.262014,dwell,Ghoom Monastery
T001,2026-03-05 08:19:00,27.020002,88.262076,dwell,Ghoom Monastery
T001,2026-03-05 08:20:00,27.020015,88.261979,dwell,Ghoom Monastery
T001,2026-03-05 08:21:00,27.019919,88.262048,dwell,Ghoom Monastery
T001,2026-03-05 08:22:00,27.020035,88.262097,dwell,Ghoom Monastery
T001,2026-03-05 08:23:00,27.01995,88.262002,dwell,Ghoom Monastery
T001,2026-03-05 08:24:00,27.019996,88.261994,dwell,Ghoom Monastery
T001,2026-03-05 08:25:00,27.020001,88.261886,dwell,Ghoom Monastery
T001,2026-03-05 08:26:00,27.020055,88.262044,dwell,Ghoom Monastery
