tourist_id,timestamp,latitude,longitude,ground_truth,deviation_clipped,deviation_z_score,dist_to_nearest_poi,speed,acceleration,bearing_change,is_stationary,stationary_streak,dwell_ratio,time_past_departure,dwell_excess_minutes,should_be_in_transit,phase_mismatch,speed_rolling_mean_5,speed_rolling_std_5,deviation_rolling_mean_10,deviation_rolling_max_15,hour_of_day,_raw_dist_to_route,if_prediction,if_anomaly_score,is_if_anomaly,is_true_anomaly,is_hybrid_anomaly,rule_applied
T001,2026-03-05 06:00:00,27.012503,88.264965,dwell,560.3188985201178,2.19669842250944,3.483263729539071,0.0,0.0,0.0,1.0,1.0,0.015873015873015872,0.0,0.0,0.0,0.0,0.0,0.0,560.3188985201178,560.3188985201178,6.0,560.3188985201178,-1,-0.024698004837390375,1,0,0,suppress:persistence<3
T001,2026-03-05 06:01:00,27.012417,88.265013,dwell,551.6764605005216,2.151296188188609,9.318598011662452,10.6797637139284,0.0,0.0,0.0,0.0,0.031746031746031744,0.0,0.0,0.0,0.0,5.3398818569642,7.5517333435888,555.9976795103197,560.3188985201178,6.0,551.6764605005216,1,0.04760546033669927,0,0,0,none
T001,2026-03-05 06:02:00,27.012487,88.265135,dwell,561.5151149617124,2.2029826329436437,13.451588838814923,14.375435836539893,3.6956721226114926,96.34382591093986,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,8.351733183489431,7.465124478909297,557.8368246607839,561.5151149617124,6.0,561.5151149617124,1,0.06359097563421084,0,0,0,none
T001,2026-03-05 06:03:00,27.012459,88.265021,dwell,556.4133749026862,2.176181121948868,5.011214897478453,11.714658289828296,-2.6607775467115964,162.63021765711585,0.0,0.0,0.06349206349206349,0.0,0.0,0.0,0.0,9.192464460074147,6.3229243214500785,557.4809622212595,561.5151149617124,6.0,556.4133749026862,1,0.0660088722683711,0,0,0,none
T001,2026-03-05 06:04:00,27.012395,88.264974,dwell,548.6149098443196,2.1352126201071493,11.95619672006623,8.50428303032084,-3.2103752595074564,41.3918913290147,0.0,0.0,0.07936507936507936,0.0,0.0,0.0,0.0,9.054828174123486,5.484455097558933,555.7077517458715,561.5151149617124,6.0,548.6149098443196,1,0.06188577442263987,0,0,0,none
T001,2026-03-05 06:05:00,27.012517,88.265055,dwell,563.3486355598184,2.2126148607523386,5.767138386478567,15.761297566732969,7.257014536412129,177.40932825308562,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,12.20708768747008,2.899142507805001,556.9812323815294,563.3486355598184,6.0,563.3486355598184,1,0.05260581007812404,0,0,0,none
T001,2026-03-05 06:06:00,27.012597,88.264997,dwell,571.1459040179428,2.2535770763673635,10.79000151053485,10.589854928224277,-5.171442638508692,63.46319208010999,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,12.189105930329255,2.9112375238771215,559.004756901017,571.1459040179428,6.0,571.1459040179428,1,0.0591541956852914,0,0,0,none
T001,2026-03-05 06:07:00,27.012426,88.265031,dwell,552.9701781607739,2.15809261209383,8.782823805793385,19.31034787824665,8.720492950022372,157.18643971415142,0.0,0.0,0.12698412698412698,0.0,0.0,0.0,0.0,13.176088338670604,4.329047029423208,558.2504345584866,571.1459040179428,6.0,552.9701781607739,1,0.0653478713934843,0,0,0,none
T001,2026-03-05 06:08:00,27.012534,88.265033,dwell,564.8334255370555,2.220415065082516,4.998031451660837,12.010686359363426,-7.299661518883223,169.00965358078005,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,13.235293952577631,4.30602630606093,558.9818780005498,571.1459040179428,6.0,564.8334255370555,1,0.06222213161464002,0,0,0,none
T001,2026-03-05 06:09:00,27.012453,88.265076,dwell,556.7163032926481,2.1777725277202835,9.164989198905872,9.963326802801026,-2.0473595565624,153.74294380523594,0.0,0.0,0.15873015873015872,0.0,0.0,0.0,0.0,13.52710270707367,3.9390669304626087,558.7553205297596,571.1459040179428,6.0,556.7163032926481,1,0.07290374351358098,0,0,0,none
